close,epoch,high,low,open
1182.46,1749599820,1183.16,1181.64,1181.64
1181.5,1749599880,1182.17,1180.58,1181.81
1182.04,1749599940,1183.35,1181.39,1181.39
1180.02,1749600000,1182.72,1179.24,1182.08
1182.5,1749600060,1182.81,1179.48,1180.46
1184.95,1749600120,1184.95,1182.12,1182.45
1183.32,1749600180,1185.2,1182.35,1185.09
1184.72,1749600240,1185.02,1182.78,1183.31
1185.9,1749600300,1186.01,1184.04,1184.58
1186.23,1749600360,1186.23,1184.7,1185.96
1189.83,1749600420,1190.18,1186.69,1186.86
1194.38,1749600480,1194.38,1189.83,1189.83
1194.89,1749600540,1195.21,1193.08,1194.89
1197.52,1749600600,1198.72,1194.99,1194.99
1193.39,1749600660,1196.88,1193.39,1196.86
1193.27,1749600720,1193.63,1192.26,1193.39
1194.51,1749600780,1194.59,1193.13,1193.27
1194.74,1749600840,1195.81,1194.3,1194.61
1197.17,1749600900,1197.61,1194.47,1194.47
1198.4,1749600960,1198.83,1196.58,1197.14
1195.59,1749601020,1198.78,1195.59,1198.78
1198.6,1749601080,1198.78,1195.67,1195.67
1196.99,1749601140,1199.11,1196.99,1198.17
1196.36,1749601200,1197.08,1195.08,1196.63
1194.78,1749601260,1196.58,1193.78,1196.58
1196.61,1749601320,1197.43,1194.55,1194.96
1195.6,1749601380,1196.7,1194.83,1196.4
1197.98,1749601440,1197.98,1194.62,1195.46
1199.93,1749601500,1200.57,1196.75,1198.15
1200.76,1749601560,1200.76,1198.61,1199.8
1203.94,1749601620,1203.94,1200.91,1201.02
1203.02,1749601680,1204.06,1202.71,1204.06
1205.18,1749601740,1205.18,1202.96,1203.42
1201.7,1749601800,1204.64,1200.9,1204.36
1201.88,1749601860,1202.42,1200.6,1201.86
1201.64,1749601920,1202.19,1200.89,1202.05
1203.21,1749601980,1203.82,1201.25,1201.41
1202.42,1749602040,1203.88,1202.42,1203.58
1204.94,1749602100,1204.96,1202.76,1202.76
1203.4,1749602160,1204.79,1203.4,1204.47
1203.76,1749602220,1204.1,1201.9,1203.98
1205.65,1749602280,1205.65,1203.4,1203.59
1205.34,1749602340,1206.6,1204.42,1206.2
1205.72,1749602400,1206.27,1205.04,1205.54
1204.89,1749602460,1207.21,1204.89,1205.7
1204.55,1749602520,1205.45,1204.17,1205.01
1210.13,1749602580,1210.13,1204.16,1204.45
1210.9,1749602640,1211.12,1209.37,1210.38
1208.98,1749602700,1211.15,1207.67,1210.7
1210.65,1749602760,1211.25,1208.29,1208.29
1208.92,1749602820,1210.7,1208.92,1210.63
1209.57,1749602880,1210.61,1208.89,1208.95
1209.47,1749602940,1209.9,1207.78,1209.9
1208.03,1749603000,1210.02,1207.54,1209.71
1208.12,1749603060,1208.33,1206.38,1208.13
1206.44,1749603120,1208.72,1206.4,1207.62
1204.34,1749603180,1205.87,1204.3,1205.81
1203.42,1749603240,1205.32,1203.28,1204.85
1207.32,1749603300,1207.32,1203.05,1203.05
1211.98,1749603360,1212.3,1207.33,1207.33
1210.6,1749603420,1212.52,1210.6,1211.39
1211.88,1749603480,1211.88,1210.25,1210.37
1209.86,1749603540,1211.72,1208.9,1211.7
1206.89,1749603600,1209.91,1206.87,1209.91
1208.48,1749603660,1209.15,1206.48,1206.84
1205.84,1749603720,1208.58,1205.5,1208.58
1205.52,1749603780,1206.43,1205.15,1206.03
1205.14,1749603840,1206.91,1204.98,1205.3
1208.71,1749603900,1208.71,1205.11,1205.19
1208.51,1749603960,1210.94,1208.51,1209.0
1211.86,1749604020,1211.86,1208.44,1208.72
1210.99,1749604080,1211.7,1210.0,1211.7
1210.14,1749604140,1211.36,1210.14,1210.71
1210.68,1749604200,1211.53,1210.43,1210.55
1209.68,1749604260,1211.96,1209.56,1210.63
1208.92,1749604320,1210.1,1207.67,1210.1
1210.89,1749604380,1211.34,1209.08,1209.17
1211.49,1749604440,1212.38,1210.89,1210.89
1209.93,1749604500,1211.95,1209.9,1211.41
1211.02,1749604560,1211.33,1210.2,1210.56
1210.62,1749604620,1211.57,1210.01,1211.22
1210.31,1749604680,1211.01,1209.5,1210.41
1211.29,1749604740,1211.29,1209.19,1210.41
1211.28,1749604800,1212.31,1208.85,1211.12
1208.33,1749604860,1211.03,1207.93,1210.76
1205.49,1749604920,1208.49,1205.0,1208.36
1207.5,1749604980,1207.69,1205.25,1205.25
1208.02,1749605040,1208.6,1207.27,1207.42
1208.93,1749605100,1209.52,1207.57,1207.85
1208.92,1749605160,1209.43,1208.02,1208.67
1208.9,1749605220,1210.56,1208.55,1208.55
1212.85,1749605280,1212.85,1209.05,1209.05
1215.56,1749605340,1215.78,1213.0,1213.0
1215.93,1749605400,1217.33,1215.63,1215.91
1217.41,1749605460,1217.77,1215.73,1215.73
1217.73,1749605520,1217.73,1216.75,1217.42
1217.96,1749605580,1218.85,1217.01,1217.4
1216.86,1749605640,1217.99,1216.44,1217.99
1215.32,1749605700,1216.88,1214.35,1216.88
1215.3,1749605760,1215.8,1214.01,1215.39
1213.41,1749605820,1215.36,1213.38,1215.19
1213.64,1749605880,1213.97,1212.29,1213.47
1212.39,1749605940,1213.45,1210.9,1213.45
1213.79,1749606000,1214.02,1211.87,1211.87
1214.05,1749606060,1214.42,1213.19,1213.67
1214.52,1749606120,1214.82,1213.07,1214.19
1211.72,1749606180,1214.54,1211.5,1214.54
1210.41,1749606240,1212.01,1210.41,1212.01
1212.27,1749606300,1212.27,1209.02,1210.12
1210.65,1749606360,1212.23,1209.95,1212.21
1209.51,1749606420,1210.88,1209.14,1210.55
1211.0,1749606480,1211.27,1209.1,1210.19
1209.63,1749606540,1211.42,1209.63,1210.68
1207.74,1749606600,1208.82,1207.16,1208.82
1209.63,1749606660,1209.91,1208.09,1208.09
1207.76,1749606720,1209.28,1207.76,1209.28
1206.26,1749606780,1208.22,1206.26,1207.87
1205.01,1749606840,1206.24,1203.99,1205.97
1207.63,1749606900,1207.63,1204.83,1205.26
